6856,42,0.205,820
6880,40,0.195,781
6902,41,0.200,800
6926,39,0.190,761
6949,39,0.190,761
6972,41,0.200,800
6996,40,0.195,781
7018,38,0.186,742
7047,41,0.200,800
7070,41,0.200,800
7093,41,0.200,800
7116,39,0.190,761
7140,41,0.200,800
7163,40,0.195,781
7186,41,0.200,800
7209,40,0.195,781
7232,40,0.195,781
7256,44,0.215,859
7278,43,0.210,839
7302,40,0.195,781
7324,41,0.200,800
7348,43,0.210,839
7370,41,0.200,800
7394,42,0.205,820
7416,44,0.215,859
7440,45,0.220,878
7464,42,0.205,820
7486,42,0.205,820
7510,47,0.229,917
7532,41,0.200,800
7556,41,0.200,800
7579,40,0.195,781
7602,40,0.195,781
7625,41,0.200,800
7648,40,0.195,781
7676,40,0.195,781
7699,40,0.195,781
7722,40,0.195,781
7745,40,0.195,781
7769,39,0.190,761
7791,41,0.200,800
7815,42,0.205,820
7837,41,0.200,800
7861,41,0.200,800
7883,39,0.190,761
7907,42,0.205,820
7931,40,0.195,781
7953,40,0.195,781
7977,39,0.190,761
7999,40,0.195,781
8023,40,0.195,781
8046,41,0.200,800
8069,42,0.205,820
8092,43,0.210,839
8115,44,0.215,859
8138,42,0.205,820
8161,47,0.229,917
8184,50,0.244,976
8207,48,0.234,937
8231,41,0.200,800
8254,42,0.205,820
8277,42,0.205,820
8317,42,0.205,820
8340,41,0.200,800
8364,41,0.200,800
8387,40,0.195,781
8410,40,0.195,781
8433,41,0.200,800
8456,41,0.200,800
8479,44,0.215,859
8503,42,0.205,820
8525,41,0.200,800
8549,45,0.220,878
8573,45,0.220,878
8595,44,0.215,859
8619,44,0.215,859
8642,42,0.205,820
8665,42,0.205,820
8688,43,0.210,839
8712,43,0.210,839
8734,46,0.225,898
8758,41,0.200,800
8781,41,0.200,800
8804,47,0.229,917
8828,48,0.234,937
8851,44,0.215,859
8874,39,0.190,761
8897,39,0.190,761
8920,44,0.215,859
8947,41,0.200,800
8971,41,0.200,800
8994,42,0.205,820
9017,43,0.210,839
9041,43,0.210,839
9063,44,0.215,859
9087,45,0.220,878
9110,43,0.210,839
9133,43,0.210,839
9156,43,0.210,839
9180,43,0.210,839
9202,43,0.210,839
9226,41,0.200,800
9248,41,0.200,800
9272,42,0.205,820
9296,42,0.205,820
9318,42,0.205,820
9342,47,0.229,917
9365,42,0.205,820
9388,43,0.210,839
9411,41,0.200,800
9434,44,0.215,859
9457,42,0.205,820
9481,41,0.200,800
9503,42,0.205,820
9527,42,0.205,820
9549,41,0.200,800
9579,47,0.229,917
9602,41,0.200,800
9625,41,0.200,800
9648,41,0.200,800
9671,42,0.205,820
9695,41,0.200,800
9717,48,0.234,937
9741,43,0.210,839
9765,41,0.200,800
9787,41,0.200,800
9811,41,0.200,800
9833,41,0.200,800
9857,43,0.210,839
9879,41,0.200,800
9903,41,0.200,800
9925,41,0.200,800
9949,48,0.234,937
9972,41,0.200,800
9995,41,0.200,800
10018,41,0.200,800
10041,41,0.200,800
10065,40,0.195,781
10088,41,0.200,800
10111,41,0.200,800
10134,40,0.195,781
10157,41,0.200,800
10180,41,0.200,800
10208,40,0.195,781
10231,41,0.200,800
10254,41,0.200,800
10278,41,0.200,800
10300,41,0.200,800
10324,42,0.205,820
10347,42,0.205,820
10370,44,0.215,859
10393,43,0.210,839
10416,43,0.210,839
10439,43,0.210,839
10463,40,0.195,781
10485,40,0.195,781
10509,46,0.225,898
10531,42,0.205,820
10555,41,0.200,800
10578,41,0.200,800
10601,41,0.200,800
10625,41,0.200,800
10647,41,0.200,800
10671,42,0.205,820
10694,39,0.190,761
10717,40,0.195,781
10740,40,0.195,781
10763,42,0.205,820
10792,41,0.200,800
10815,41,0.200,800
10839,41,0.200,800
10861,45,0.220,878
10885,41,0.200,800
10907,40,0.195,781
10931,38,0.186,742
10954,40,0.195,781
10977,40,0.195,781
11000,40,0.195,781
11023,40,0.195,781
11047,40,0.195,781
11070,41,0.200,800
11093,42,0.205,820
11116,41,0.200,800
11139,42,0.205,820
11162,39,0.190,761
11185,41,0.200,800
11208,40,0.195,781
11232,41,0.200,800
11267,46,0.225,898
11289,40,0.195,781
11313,42,0.205,820
11336,42,0.205,820
11360,45,0.220,878
11382,40,0.195,781
11410,41,0.200,800
11434,42,0.205,820
11457,42,0.205,820
11480,42,0.205,820
11503,40,0.195,781
11527,41,0.200,800
11549,41,0.200,800
11573,41,0.200,800
11596,41,0.200,800
11619,41,0.200,800
11643,41,0.200,800
11665,41,0.200,800
11689,40,0.195,781
11712,41,0.200,800
11735,40,0.195,781
11758,41,0.200,800
11782,41,0.200,800
11804,41,0.200,800
11828,47,0.229,917
11851,42,0.205,820
11874,45,0.220,878
11897,46,0.225,898
11921,40,0.195,781
11944,40,0.195,781
11967,41,0.200,800
11996,40,0.195,781
12019,39,0.190,761
12042,41,0.200,800
12065,41,0.200,800
12089,40,0.195,781
12112,40,0.195,781
12135,39,0.190,761
12159,40,0.195,781
12181,40,0.195,781
12205,42,0.205,820
12228,42,0.205,820
12251,40,0.195,781
12274,47,0.229,917
12298,41,0.200,800
12320,40,0.195,781
12344,41,0.200,800
12366,40,0.195,781
12390,40,0.195,781
12414,41,0.200,800
12436,40,0.195,781
12460,41,0.200,800
12483,41,0.200,800
12506,47,0.229,917
12529,46,0.225,898
12552,42,0.205,820
12575,41,0.200,800
12603,39,0.190,761
12627,40,0.195,781
12649,40,0.195,781
12673,41,0.200,800
12695,41,0.200,800
12719,41,0.200,800
12742,41,0.200,800
